Thread ID: 106710
Total: 0.090464

 %self     total     self     wait    child    calls  name
 16.05      0.04     0.01     0.00     0.02      469  Proc#call(d1)
 14.57      0.02     0.01     0.00     0.00      107  Array#each(d1)
  5.68      0.06     0.01     0.00     0.05       30  Array#each
  5.12      0.02     0.00     0.00     0.02        6  Array#map
  4.38      0.00     0.00     0.00     0.00      342  String#sub
  3.97      0.00     0.00     0.00     0.00      513  String#include?
  2.84      0.01     0.00     0.00     0.00      152  Hash#merge
  2.55      0.09     0.00     0.00     0.09        1  ActiveSupport::Testing::Performance::Profiler#run
  1.90      0.00     0.00     0.00     0.00       74  Rack::Lint::Assertion#assert
  1.88      0.00     0.00     0.00     0.00      154  Hash#initialize_copy
  1.83      0.02     0.00     0.00     0.02        4  Array#reject
  1.82      0.08     0.00     0.00     0.08       70  Proc#call
  1.78      0.00     0.00     0.00     0.00      175  Regexp#match
  1.75      0.02     0.00     0.00     0.02      113  Enumerable#any?
  1.63      0.00     0.00     0.00     0.00       14  Hash#each
  1.53      0.00     0.00     0.00     0.00      150  Hash#[]
  1.35      0.00     0.00     0.00     0.00      162  <Class::Hash>#allocate
  0.78      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.72      0.00     0.00     0.00     0.00       56  String#inspect
  0.52      0.00     0.00     0.00     0.00       55  Hash#[]=
  0.48      0.09     0.00     0.00     0.09        1  ActionController::Integration::Session#process
  0.48      0.00     0.00     0.00     0.00       49  Kernel#respond_to?
  0.47      0.00     0.00     0.00     0.00       49  String#downcase
  0.45      0.00     0.00     0.00     0.00        5  Hash#delete_if
  0.43      0.00     0.00     0.00     0.00       52  Hash#default
  0.42      0.00     0.00     0.00     0.00       22  Class#new
  0.33      0.00     0.00     0.00     0.00       43  Array#[]
  0.33      0.00     0.00     0.00     0.00       16  Rack::Utils::HeaderHash#[]
  0.30      0.00     0.00     0.00     0.00       38  String#==
  0.29      0.01     0.00     0.00     0.00        1  Rack::Lint#check_env
  0.28      0.00     0.00     0.00     0.00       34  Kernel#hash
  0.27      0.00     0.00     0.00     0.00        2  Hash#inspect
  0.27      0.00     0.00     0.00     0.00        4  Mutex#synchronize(d1)
  0.26      0.00     0.00     0.00     0.00       34  Kernel#kind_of?
  0.25      0.00     0.00     0.00     0.00       33  Array#size
  0.24      0.00     0.00     0.00     0.00       17  String#split
  0.21      0.00     0.00     0.00     0.00       27  Fixnum#+
  0.21      0.00     0.00     0.00     0.00       13  ActiveSupport::BufferedLogger#buffer
  0.20      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#add
  0.20      0.00     0.00     0.00     0.00       19  Hash#delete
  0.19      0.00     0.00     0.00     0.00       22  <Class::Thread>#current
  0.19      0.00     0.00     0.00     0.00        2  ActionView::Base#with_template
  0.19      0.00     0.00     0.00     0.00       22  Kernel#class
  0.19      0.00     0.00     0.00     0.00        5  Rack::Utils::HeaderHash#[]=
  0.19      0.00     0.00     0.00     0.00        3  IO#write
  0.19      0.00     0.00     0.00     0.00       26  Fixnum#<
  0.18      0.00     0.00     0.00     0.00       22  Hash#include?
  0.18      0.00     0.00     0.00     0.00        2  ActionView::Base#render
  0.17      0.00     0.00     0.00     0.00        4  ActionController::Response#content_type
  0.17      0.00     0.00     0.00     0.00        5  Rack::Utils::HeaderHash#delete
  0.17      0.00     0.00     0.00     0.00       19  Symbol#to_s
  0.17      0.00     0.00     0.00     0.00       18  Module#===
  0.17      0.05     0.00     0.00     0.05       10  Kernel#send
  0.16      0.00     0.00     0.00     0.00        5  HashWithIndifferentAccess#initialize
  0.16      0.00     0.00     0.00     0.00        1  Kernel#raise
  0.15      0.00     0.00     0.00     0.00       10  HashWithIndifferentAccess#convert_key
  0.15      0.00     0.00     0.00     0.00       17  Kernel#is_a?
  0.14      0.00     0.00     0.00     0.00        1  Rack::Request#POST
  0.13      0.09     0.00     0.00     0.09        1  Rack::Lint#_call
  0.13      0.00     0.00     0.00     0.00       13  String#[]
  0.13      0.00     0.00     0.00     0.00        3  ActionController::Response#charset
  0.13      0.00     0.00     0.00     0.00       15  Array#empty?
  0.13      0.01     0.00     0.00     0.01        1  Array#select
  0.13      0.00     0.00     0.00     0.00        7  HashWithIndifferentAccess#update
  0.13      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name
  0.12      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action_locally
  0.12      0.00     0.00     0.00     0.00       14  <Class::Object>#allocate
  0.12      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.12      0.00     0.00     0.00     0.00        2  Array#map!
  0.12      0.00     0.00     0.00     0.00       12  String#to_s
  0.12      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.12      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Renderable#render
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  Kernel#send(d1)
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.08     0.00     0.00     0.08        1  ActionController::Dispatcher#dispatch
  0.11      0.06     0.00     0.00     0.06        1  ActionController::Base#process_without_filters
  0.11      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#default
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        3  ActionController::Request#query_string
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks#run_callbacks
  0.11      0.00     0.00     0.00     0.00        9  Kernel#to_s
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.11      0.04     0.00     0.00     0.04        1  <Module::ActiveSupport::Deprecation>#silence
  0.11      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.10      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.10      0.00     0.00     0.00     0.00        2  ActionController::Request#normalize_parameters
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.10      0.00     0.00     0.00     0.00       14  ActionController::Base#response
  0.10      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#read
  0.10      0.00     0.00     0.00     0.00        6  Kernel#__send__(d2)
  0.10      0.05     0.00     0.00     0.05        1  ActionController::Rescue#rescue_action_without_handler
  0.10      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks::CallbackChain#run
  0.09      0.00     0.00     0.00     0.00       10  Module#to_s
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Response#content_type=
  0.09      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#auto_flush
  0.09      0.01     0.00     0.00     0.01        6  Enumerable#find
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_file
  0.09      0.00     0.00     0.00     0.00        7  Kernel#inspect
  0.09      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name_without_locals
  0.09      0.00     0.00     0.00     0.00       10  Fixnum#==
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47usr47local47lib47ruby47gems47146847gems47actionpack45246346847lib47action_controller47templates47rescues47routing_error46erb
  0.09      0.08     0.00     0.00     0.08        1  ActionController::Session::CookieStore#call
  0.09      0.00     0.00     0.00     0.00        7  Hash#each_pair
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Request#remote_ip
  0.08      0.00     0.00     0.00     0.00        9  Kernel#instance_variable_set
  0.08      0.00     0.00     0.00     0.00        4  Class#new(d1)
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Response#set_content_length!
  0.08      0.00     0.00     0.00     0.00        3  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.08      0.00     0.00     0.00     0.00        1  String#gsub
  0.08      0.02     0.00     0.00     0.02        1  ActionController::Routing::RouteSet#recognize_path
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Base#_set_controller_content_type
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.07      0.00     0.00     0.00     0.00        8  Hash#initialize
  0.07      0.00     0.00     0.00     0.00        2  Module#extend_object
  0.07      0.00     0.00     0.00     0.00        4  Kernel#dup
  0.07      0.00     0.00     0.00     0.00        1  MonitorMixin#synchronize
  0.07      0.00     0.00     0.00     0.00        7  Kernel#String
