Thread ID: 106710
Total: 0.289675

 %self     total     self     wait    child    calls  name
 13.83      0.08     0.04     0.00     0.04      171  Array#each(d2)
 10.30      0.03     0.03     0.00     0.00     3266  Regexp#===
  4.56      0.02     0.01     0.00     0.01      100  Hash#each
  3.69      0.01     0.01     0.00     0.00       74  String#split
  3.14      0.01     0.01     0.00     0.00     1104  Hash#[]
  1.59      0.00     0.00     0.00     0.00      618  Hash#[]=
  1.42      0.00     0.00     0.00     0.00      512  String#gsub!
  1.24      0.23     0.00     0.00     0.22       43  Array#each
  1.18      0.03     0.00     0.00     0.03       24  ActionController::Routing::RouteSet#generate
  1.10      0.20     0.00     0.00     0.20       24  Array#each(d1)
  1.05      0.01     0.00     0.00     0.00        9  Hash#each_key
  1.04      0.01     0.00     0.00     0.01        9  Integer#times
  0.96      0.00     0.00     0.00     0.00      387  Hash#default
  0.87      0.00     0.00     0.00     0.00      353  Hash#delete
  0.84      0.00     0.00     0.00     0.00      321  Module#===
  0.82      0.16     0.00     0.00     0.16       27  ActionView::Helpers::UrlHelper#link_to
  0.79      0.00     0.00     0.00     0.00      326  String#==
  0.77      0.29     0.00     0.00     0.29        1  ActiveSupport::Testing::Performance::Profiler#run
  0.76      0.00     0.00     0.00     0.00      342  Symbol#to_sym
  0.76      0.08     0.00     0.00     0.08       16  ActionController::PolymorphicRoutes#polymorphic_url
  0.75      0.01     0.00     0.00     0.00       95  Rack::Lint::Assertion#assert
  0.74      0.02     0.00     0.00     0.01      145  Class#new
  0.74      0.00     0.00     0.00     0.00      296  Kernel#is_a?
  0.74      0.27     0.00     0.00     0.27       91  Proc#call
  0.67      0.00     0.00     0.00     0.00      156  Hash#initialize_copy
  0.65      0.11     0.00     0.00     0.11       35  ActionView::Helpers::UrlHelper#url_for
  0.64      0.00     0.00     0.00     0.00      267  String#to_s
  0.64      0.00     0.00     0.00     0.00      102  Hash#merge
  0.62      0.01     0.00     0.00     0.00       16  <Object::ActionController::Routing::Route>#generate_raw
  0.59      0.05     0.00     0.00     0.04       24  ActionController::UrlRewriter#rewrite_url
  0.54      0.03     0.00     0.00     0.02       16  ActionController::PolymorphicRoutes#build_named_route_call
  0.54      0.03     0.00     0.00     0.03      110  Enumerable#inject
  0.52      0.00     0.00     0.00     0.00      116  String#gsub
  0.49      0.01     0.00     0.00     0.01       27  Array#map
  0.48      0.00     0.00     0.00     0.00      180  <Class::Hash>#allocate
  0.48      0.04     0.00     0.00     0.04       24  ActionController::UrlRewriter#rewrite_path
  0.46      0.00     0.00     0.00     0.00       58  String#inspect
  0.44      0.05     0.00     0.00     0.04       16  ActionView::Helpers::UrlHelper#url_for(d1)
  0.42      0.05     0.00     0.00     0.05       16  #<Module:0x1816950>#user_path
  0.42      0.07     0.00     0.00     0.07       43  <Module::ActiveSupport::Multibyte>#clean
  0.40      0.01     0.00     0.00     0.01        9  SQLite3::ResultSet#next
  0.40      0.00     0.00     0.00     0.00        9  Hash#delete_if
  0.39      0.07     0.00     0.00     0.07       43  ActionView::Helpers::TagHelper#escape_once
  0.39      0.05     0.00     0.00     0.05       24  ActionController::Base#url_for
  0.38      0.00     0.00     0.00     0.00       58  Array#join
  0.37      0.00     0.00     0.00     0.00      156  Fixnum#==
  0.35      0.00     0.00     0.00     0.00      123  Symbol#to_s
  0.35      0.00     0.00     0.00     0.00       91  String#html_safe
  0.33      0.00     0.00     0.00     0.00       24  ActionController::Routing::RouteSet#options_as_params
  0.33      0.00     0.00     0.00     0.00        8  <Object::ActionController::Routing::Route>#generate_raw
  0.32      0.00     0.00     0.00     0.00      115  String#<<
  0.32      0.00     0.00     0.00     0.00      127  String#[]
  0.32      0.00     0.00     0.00     0.00      107  Kernel#respond_to?
  0.31      0.06     0.00     0.00     0.06       19  Hash#each_pair
  0.30      0.00     0.00     0.00     0.00      102  String#downcase
  0.30      0.00     0.00     0.00     0.00       24  ActionController::Routing::Route#extra_keys
  0.30      0.00     0.00     0.00     0.00       64  SQLite3::Driver::Native::Driver#column_text
  0.30      0.02     0.00     0.00     0.02       16  ActiveSupport::Inflector#singularize
  0.30      0.00     0.00     0.00     0.00        1  Range#each
  0.29      0.00     0.00     0.00     0.00       97  Object#to_param
  0.28      0.22     0.00     0.00     0.22       82  Kernel#send(d2)
  0.28      0.00     0.00     0.00     0.00      110  String#concat
  0.28      0.00     0.00     0.00     0.00       43  <Module::ActiveSupport::Multibyte>#valid_character
  0.28      0.00     0.00     0.00     0.00       64  <Module::SQLite3::Driver::Native::API>#sqlite3_column_text
  0.27      0.01     0.00     0.00     0.01       24  ActionController::Routing::Route#generate
  0.27      0.00     0.00     0.00     0.00      112  Array#<<
  0.27      0.00     0.00     0.00     0.00      106  Kernel#==
  0.27      0.00     0.00     0.00     0.00       32  ActiveSupport::Inflector#inflections
  0.27      0.05     0.00     0.00     0.05       41  Kernel#__send__(d2)
  0.26      0.00     0.00     0.00     0.00       64  <Module::SQLite3::Driver::Native::API>#sqlite3_column_type
  0.26      0.00     0.00     0.00     0.00      103  Array#[]
  0.26      0.00     0.00     0.00     0.00      108  <Class::String>#allocate
  0.25      0.00     0.00     0.00     0.00       99  Kernel#kind_of?
  0.25      0.00     0.00     0.00     0.00      104  Kernel#block_given?
  0.24      0.00     0.00     0.00     0.00       91  String#initialize
  0.23      0.00     0.00     0.00     0.00       32  ActiveSupport::Inflector#inflections_without_route_reloading
  0.23      0.00     0.00     0.00     0.00       33  Object#returning
  0.23      0.00     0.00     0.00     0.00       84  NilClass#to_s
  0.23      0.00     0.00     0.00     0.00       32  ActionController::PolymorphicRoutes#extract_record
  0.23      0.01     0.00     0.00     0.01       49  ActiveSupport::CoreExtensions::Hash::Keys#symbolize_keys
  0.22      0.00     0.00     0.00     0.00       24  ActionController::Routing::Route#build_query_string
  0.22      0.05     0.00     0.00     0.05       43  Enumerable#grep
  0.22      0.00     0.00     0.00     0.00       46  Kernel#dup
  0.22      0.00     0.00     0.00     0.00       17  ERB::Util#h
  0.21      0.00     0.00     0.00     0.00       80  Kernel#class
  0.21      0.00     0.00     0.00     0.00       52  Hash#keys
  0.21      0.03     0.00     0.00     0.03        8  #<Module:0x1816950>#edit_user_path
  0.21      0.01     0.00     0.00     0.00       40  Enumerable#any?
  0.20      0.00     0.00     0.00     0.00       68  String#sub
  0.20      0.00     0.00     0.00     0.00       82  Array#empty?
  0.20      0.00     0.00     0.00     0.00       80  Hash#key?
  0.20      0.00     0.00     0.00     0.00       64  SQLite3::Driver::Native::Driver#column_type
  0.19      0.00     0.00     0.00     0.00       24  ActionController::Routing::Route#append_query_string
  0.19      0.00     0.00     0.00     0.00       24  URI::Escape#escape
  0.19      0.00     0.00     0.00     0.00       73  Hash#include?
  0.19      0.00     0.00     0.00     0.00       52  Array#-
  0.19      0.00     0.00     0.00     0.00       16  ActionController::RecordIdentifier#model_name_from_record_or_class
  0.18      0.00     0.00     0.00     0.00       24  User(id: integer, username: string, created_at: datetime, updated_at: datetime, email: string, crypted_password: string, password_salt: string, persistence_token: string)#id
  0.18      0.07     0.00     0.00     0.07       33  Kernel#send(d4)
  0.18      0.00     0.00     0.00     0.00       14  Authlogic::Session::Foundation::ClassMethods#rw_config
  0.18      0.00     0.00     0.00     0.00       27  Array#flatten
  0.17      0.00     0.00     0.00     0.00        8  ActionView::Helpers::UrlHelper#method_javascript_function
  0.17      0.05     0.00     0.00     0.05       24  ActionController::UrlRewriter#rewrite
  0.17      0.06     0.00     0.00     0.06        9  ActionView::Helpers::TagHelper#tag_options
  0.17      0.00     0.00     0.00     0.00       24  ActiveRecord::Base#to_param
  0.17      0.29     0.00     0.00     0.29        1  ActionController::Integration::Session#process
  0.17      0.00     0.00     0.00     0.00       66  Array#first
  0.17      0.00     0.00     0.00     0.00        8  <Class::ActiveRecord::Base>#instantiate
  0.17      0.00     0.00     0.00     0.00       61  <Class::Thread>#current
  0.16      0.00     0.00     0.00     0.00        8  ActionView::Helpers::UrlHelper#convert_options_to_javascript!
  0.16      0.00     0.00     0.00     0.00       17  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.16      0.00     0.00     0.00     0.00       60  Kernel#hash
  0.15      0.00     0.00     0.00     0.00       27  Class#read_inheritable_attribute
  0.15      0.02     0.00     0.00     0.02        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47layouts47application46html46erb
  0.15      0.00     0.00     0.00     0.00       44  Kernel#===
  0.15      0.00     0.00     0.00     0.00       24  ActionController::Base#rewrite_options
  0.14      0.00     0.00     0.00     0.00       16  Array#delete_if
  0.14      0.00     0.00     0.00     0.00       64  Kernel#taint
  0.14      0.00     0.00     0.00     0.00       26  ActiveSupport::CoreExtensions::Array::ExtractOptions#extract_options!
  0.14      0.00     0.00     0.00     0.00       54  String#+
  0.13      0.00     0.00     0.00     0.00       16  ActiveRecord::AttributeMethods#respond_to?
  0.13      0.00     0.00     0.00     0.00       19  Array#include?
  0.13      0.00     0.00     0.00     0.00       12  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.13      0.00     0.00     0.00     0.00       25  HashWithIndifferentAccess#convert_key
  0.12      0.00     0.00     0.00     0.00       26  Hash#update
  0.12      0.00     0.00     0.00     0.00       47  <Class::Object>#allocate
  0.12      0.00     0.00     0.00     0.00       25  Kernel#clone
  0.11      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#parse
  0.11      0.00     0.00     0.00     0.00       13  <Class::ActiveRecord::Base>#connection_handler
  0.11      0.00     0.00     0.00     0.00        8  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.11      0.01     0.00     0.00     0.01       24  ActionController::Routing::RouteSet#build_expiry
  0.11      0.00     0.00     0.00     0.00       45  Class#inheritable_attributes
  0.11      0.00     0.00     0.00     0.00        5  Mutex#synchronize(d1)
  0.11      0.08     0.00     0.00     0.08       16  ActionController::PolymorphicRoutes#polymorphic_path
  0.11      0.00     0.00     0.00     0.00       24  ActionController::Routing::RouteSet::NamedRouteCollection#[]
  0.10      0.00     0.00     0.00     0.00       53  ActiveSupport::SafeBuffer#to_s
  0.10      0.00     0.00     0.00     0.00       17  Rack::Utils::HeaderHash#[]
  0.10      0.00     0.00     0.00     0.00       32  Array#zip
  0.10      0.00     0.00     0.00     0.00       34  NilClass#nil?
  0.10      0.01     0.00     0.00     0.01        5  ActiveSupport::Callbacks#run_callbacks
  0.10      0.00     0.00     0.00     0.00        7  Mime::Type::AcceptItem#initialize
  0.10      0.22     0.00     0.00     0.22        8  Proc#call(d1)
  0.10      0.00     0.00     0.00     0.00       30  Fixnum#to_s
  0.09      0.00     0.00     0.00     0.00       16  ActiveSupport::CoreExtensions::Hash::Except#except
  0.09      0.00     0.00     0.00     0.00       39  Kernel#nil?
  0.09      0.00     0.00     0.00     0.00       35  Class#superclass
  0.09      0.00     0.00     0.00     0.00        4  Array#map!
  0.09      0.00     0.00     0.00     0.00       15  Class#new(d1)
  0.09      0.00     0.00     0.00     0.00        9  HashWithIndifferentAccess#initialize
  0.09      0.01     0.00     0.00     0.01        1  SQLite3::ResultSet#each
  0.09      0.00     0.00     0.00     0.00       40  Fixnum#^
  0.09      0.01     0.00     0.00     0.01        8  ActiveSupport::Callbacks::Callback#call
  0.09      0.00     0.00     0.00     0.00       27  String#to_i
  0.09      0.01     0.00     0.00     0.00        1  Rack::Lint#check_env
  0.09      0.00     0.00     0.00     0.00        8  Rack::Utils::HeaderHash#[]=
  0.09      0.00     0.00     0.00     0.00        8  Rack::Utils::HeaderHash#delete
  0.09      0.00     0.00     0.00     0.00       40  Fixnum#|
  0.09      0.00     0.00     0.00     0.00        8  Mime::Type#==
  0.09      0.02     0.00     0.00     0.02       16  ActiveSupport::CoreExtensions::String::Inflections#singularize
  0.09      0.00     0.00     0.00     0.00       27  ActiveSupport::CoreExtensions::Array::Access#second
  0.08      0.01     0.00     0.00     0.01        9  ActiveSupport::Callbacks::Callback#evaluate_method
  0.08      0.00     0.00     0.00     0.00        9  <Module::SQLite3::Driver::Native::API>#sqlite3_step
  0.08      0.00     0.00     0.00     0.00       17  ActiveSupport::BufferedLogger#buffer
  0.08      0.00     0.00     0.00     0.00       16  ActionController::RecordIdentifier#plural_class_name
  0.08      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#add
  0.08      0.00     0.00     0.00     0.00        9  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.08      0.00     0.00     0.00     0.00        9  SQLite3::ResultSet#check
  0.08      0.00     0.00     0.00     0.00       31  Array#last
  0.08      0.23     0.00     0.00     0.23        2  <Module::Benchmark>#realtime(d1)
  0.08      0.00     0.00     0.00     0.00       11  Mime::Type::AcceptItem#<=>
  0.08      0.00     0.00     0.00     0.00       10  HashWithIndifferentAccess#convert_value
  0.08      0.22     0.00     0.00     0.22        1  ActionController::Base#render_without_benchmark
  0.08      0.00     0.00     0.00     0.00       16  #<Module:0x1816950>#hash_for_user_path
  0.08      0.00     0.00     0.00     0.00       27  ActiveSupport::CoreExtensions::Array::Access#third
  0.08      0.00     0.00     0.00     0.00       36  ActionController::Base#response
  0.08      0.26     0.00     0.00     0.26        1  ActionController::Benchmarking#perform_action_without_rescue
  0.08      0.00     0.00     0.00     0.00       21  String#blank?
  0.08      0.00     0.00     0.00     0.00       27  Array#compact
  0.08      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_exit
  0.07      0.00     0.00     0.00     0.00       23  Module#name
  0.07      0.00     0.00     0.00     0.00        4  MonitorMixin#synchronize
  0.07      0.27     0.00     0.00     0.27        1  ActionController::Session::CookieStore#call
  0.07      0.00     0.00     0.00     0.00       29  <Class::ActionController::Base>#relative_url_root
  0.07      0.00     0.00     0.00     0.00        9  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.07      0.00     0.00     0.00     0.00       24  ActionController::Request#symbolized_path_parameters
  0.07      0.00     0.00     0.00     0.00       16  ActionController::PolymorphicRoutes#routing_type
  0.07      0.00     0.00     0.00     0.00        9  <Class::ActiveRecord::Base>#retrieve_connection
  0.07      0.00     0.00     0.00     0.00       24  Hash#initialize
  0.07      0.00     0.00     0.00     0.00       27  Array#compact!
  0.07      0.00     0.00     0.00     0.00       16  ActionController::PolymorphicRoutes#action_prefix
  0.07      0.00     0.00     0.00     0.00       23  Kernel#instance_variable_set
  0.06      0.00     0.00     0.00     0.00        5  ActiveRecord::DynamicFinderMatch#initialize
  0.06      0.00     0.00     0.00     0.00       32  <Class::ActiveSupport::Inflector::Inflections>#instance
  0.06      0.21     0.00     0.00     0.21        2  ActionView::Base#with_template
  0.06      0.00     0.00     0.00     0.00       11  HashWithIndifferentAccess#update
  0.06      0.00     0.00     0.00     0.00        3  Array#collect
  0.06      0.00     0.00     0.00     0.00        2  Array#each(d3)
  0.06      0.00     0.00     0.00     0.00       25  ActionController::Routing::Route#parameter_shell
  0.06      0.00     0.00     0.00     0.00        1  Hash#inspect
  0.06      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#compute_public_path
  0.06      0.00     0.00     0.00     0.00        2  #<Module:0x1816950>#new_user_path
  0.06      0.00     0.00     0.00     0.00        4  IO#write
  0.06      0.00     0.00     0.00     0.00        5  <Class::ActiveRecord::Base>#respond_to?
  0.06      0.00     0.00     0.00     0.00       23  String#include?
  0.06      0.00     0.00     0.00     0.00       22  Hash#empty?
  0.06      0.21     0.00     0.00     0.21        2  ActionView::Base#render(d1)
  0.06      0.26     0.00     0.00     0.26       11  Kernel#send
  0.06      0.00     0.00     0.00     0.00       18  Module#to_s
  0.06      0.00     0.00     0.00     0.00       19  Thread#[]
  0.06      0.00     0.00     0.00     0.00       24  ActionController::Routing::Route#significant_keys
  0.05      0.00     0.00     0.00     0.00        9  Enumerable#each_with_index
  0.05      0.00     0.00     0.00     0.00        4  ActionController::Response#content_type
  0.05      0.00     0.00     0.00     0.00        1  Array#collect!
  0.05      0.00     0.00     0.00     0.00        8  User(id: integer, username: string, created_at: datetime, updated_at: datetime, email: string, crypted_password: string, password_salt: string, persistence_token: string)#username
  0.05      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_enter
  0.05      0.00     0.00     0.00     0.00       19  Array#shift
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#construct_finder_sql
  0.05      0.00     0.00     0.00     0.00        6  ActionView::PathSet#find_template
  0.05      0.00     0.00     0.00     0.00       17  Hash#has_key?
  0.05      0.01     0.00     0.00     0.01        5  ActiveSupport::Callbacks::CallbackChain#run
  0.05      0.00     0.00     0.00     0.00        4  ActiveSupport::Inflector#underscore
  0.05      0.00     0.00     0.00     0.00        9  ActionController::Base#allow_forgery_protection
  0.05      0.00     0.00     0.00     0.00        6  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.05      0.00     0.00     0.00     0.00        8  ActionView::Helpers::JavaScriptHelper#escape_javascript
  0.05      0.00     0.00     0.00     0.00        5  Proc#call(d2)
  0.05      0.00     0.00     0.00     0.00        4  String#%
  0.05      0.00     0.00     0.00     0.00       17  Kernel#instance_variable_get
  0.05      0.00     0.00     0.00     0.00        1  <Module::SQLite3::Driver::Native::API>#sqlite3_prepare
  0.05      0.00     0.00     0.00     0.00       10  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.05      0.00     0.00     0.00     0.00       20  Symbol#===
  0.05      0.00     0.00     0.00     0.00        8  ActionView::Helpers::UrlHelper#confirm_javascript_function
  0.05      0.00     0.00     0.00     0.00       17  String#initialize_copy
  0.05      0.00     0.00     0.00     0.00        4  Authlogic::Session::Password::Config#login_field
  0.05      0.22     0.00     0.00     0.22        1  ActionController::Benchmarking#render
  0.05      0.00     0.00     0.00     0.00        4  Authlogic::Session::Scopes::InstanceMethods#build_key
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.05      0.00     0.00     0.00     0.00        4  Authlogic::Session::Cookies::Config#cookie_key
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#build_cookie
  0.04      0.00     0.00     0.00     0.00        5  ActiveRecord::DynamicScopeMatch#initialize
  0.04      0.00     0.00     0.00     0.00        1  Rack::Request#POST
  0.04      0.00     0.00     0.00     0.00       18  <Class::Thread>#critical=
  0.04      0.00     0.00     0.00     0.00        9  ActionController::RequestForgeryProtection#protect_against_forgery?
  0.04      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Base::Config#rw_config
  0.04      0.00     0.00     0.00     0.00        9  ActionView::Template::EagerPath#[]
  0.04      0.00     0.00     0.00     0.00        9  ActiveSupport::CoreExtensions::Hash::Keys#stringify_keys
  0.04      0.00     0.00     0.00     0.00        8  SQLite3::Statement#columns
  0.04      0.00     0.00     0.00     0.00        9  <Class::ActiveRecord::Base>#connection
  0.04      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Base::Config#first_column_to_exist
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Filters::InstanceMethods#run_after_filters
  0.04      0.00     0.00     0.00     0.00        9  <Module::I18n>#config
  0.04      0.00     0.00     0.00     0.00       15  Array#+
